hugo	pfam_coord
ZNF117	{'zf-C2H2_6': [108, 131], 'zf-H2C2_2': [151, 176, '//', 319, 344, '//', 347, 372, '//', 291, 316, '//', 179, 204, '//', 432, 456, '//', 263, 288, '//', 235, 260, '//', 459, 483, '//', 407, 428]}
KDM3A	{'JmjC': [1151, 1264]}
SEZ6L	{'Sushi': [745, 800, '//', 806, 865, '//', 567, 624, '//', 873, 930, '//', 393, 448], 'CUB': [628, 736, '//', 452, 559, '//', 281, 386]}
TMC4	{'TMC': [475, 585]}
APIP	{'Aldolase_II': [27, 222]}
TMC1	{'TMC': [515, 630]}
TMC2	{'TMC': [574, 689]}
WASF1	{'WH2': [494, 521]}
EIF2B4	{'IF-2B': [218, 509]}
GTPBP2	{'GTP_EFTU': [172, 412], 'GTP_EFTU_D3': [499, 589]}
TMC8	{'TMC': [418, 528]}
EIF2B3	{'NTP_transferase': [4, 138]}
EIF2B1	{'IF-2B': [15, 293]}
PRKAR2B	{'RIIa': [7, 44], 'cNMP_binding': [294, 390, '//', 172, 261]}
MAGT1	{'OST3_OST6': [165, 319]}
DCTN6	{'Hexapep': [98, 133, '//', 8, 43]}
TXNIP	{'Arrestin_C': [174, 300], 'Arrestin_N': [10, 152]}
S1PR4	{'7tm_1': [63, 307]}
QPRT	{'QRPTase_N': [29, 112], 'QRPTase_C': [114, 284]}
IFT140	{'WD40': [93, 131]}
RSPH9	{'Radial_spoke': [112, 275]}
TMEM14C	{'Tmemb_14': [11, 105]}
TMEM14A	{'Tmemb_14': [2, 96]}
FANCF	{'FANCF': [1, 355]}
MECOM	{'zf-C2H2': [733, 755, '//', 131, 154, '//', 761, 784, '//', 103, 125, '//', 217, 239, '//', 160, 182, '//', 76, 97, '//', 790, 812, '//', 21, 44, '//', 188, 210]}
RSPH3	{'Radial_spoke_3': [186, 475]}
RSPH1	{'MORN': [67, 89, '//', 90, 112, '//', 44, 66, '//', 113, 133, '//', 159, 181, '//', 137, 152, '//', 26, 43]}
FANCE	{'FA_FANCE': [273, 535]}
GTPBP8	{'MMR_HSR1': [112, 227]}
SOX6	{'HMG_box': [621, 689]}
TTC1	{'TPR_1': [155, 188, '//', 119, 149, '//', 189, 222]}
LURAP1	{'LURAP': [36, 160]}
MYT1L	{'zf-C2HC': [902, 932, '//', 28, 58, '//', 951, 981, '//', 547, 577, '//', 1004, 1034, '//', 503, 533], 'MYT1': [621, 873]}
ABCA12	{'ABC_tran': [1361, 1507, '//', 2273, 2418], 'ABC2_membrane_3': [1744, 2198, '//', 891, 1270]}
SHOX2	{'Homeobox': [141, 197], 'OAR': [308, 328]}
C9orf123	{'DUF4536': [46, 92]}
CLIC6	{'GST_N_3': [483, 555], 'GST_C_2': [573, 675]}
PHACTR4	{'RPEL': [583, 608, '//', 63, 88, '//', 621, 646]}
CLIC4	{'GST_N_3': [31, 103]}
CLIC5	{'GST_N_3': [187, 259]}
NLGN2	{'COesterase': [30, 601]}
CLIC3	{'GST_N_3': [18, 90], 'GST_C_2': [75, 208]}
PHACTR3	{'RPEL': [439, 464, '//', 477, 502]}
KRTAP2-2	{'Keratin_B2': [1, 73], 'Keratin_B2_2': [89, 128]}
KRTAP2-1	{'Keratin_B2': [1, 73], 'Keratin_B2_2': [89, 128]}
KIAA0020	{'CPL': [433, 580]}
CLEC1A	{'Lectin_C': [154, 259]}
KRTAP2-4	{'Keratin_B2': [1, 73], 'Keratin_B2_2': [89, 128]}
TMEM147	{'DUF2053': [2, 158]}
HNRNPAB	{'CBFNT': [1, 70], 'RRM_1': [71, 140, '//', 155, 225]}
TMEM145	{'GpcrRhopsn4': [143, 397]}
FOXL2	{'Fork_head': [54, 149]}
RIT1	{'Ras': [23, 184]}
TMEM141	{'TMEM141': [2, 97]}
TMEM140	{'TM140': [5, 185]}
BPNT1	{'Inositol_P': [8, 303]}
KIAA1279	{'KBP_C': [246, 615]}
PKIB	{'PKI': [9, 78]}
MAP3K8	{'Pkinase': [140, 388]}
ARID4A	{'Tudor-knot': [573, 630], 'ARID': [306, 397], 'RBB1NT': [168, 263]}
UBE2NL	{'UQ_con': [7, 145]}
RNF180	{'zf-C3HC4_3': [428, 480]}
SOWAHA	{'Ank_2': [325, 416]}
SOWAHB	{'Ank_2': [614, 723]}
SOWAHC	{'Ank_2': [271, 372]}
SOWAHD	{'Ank_2': [117, 218]}
ITGB2	{'Integrin_B_tail': [622, 700], 'Integrin_b_cyt': [724, 769], 'Integrin_beta': [32, 447]}
KIAA1199	{'Mucin2_WxxW': [324, 405], 'G8': [44, 166]}
HLA-DPA1	{'C1-set': [124, 206], 'MHC_II_alpha': [35, 115]}
FAM32A	{'DUF1754': [3, 56]}
KIAA1191	{'P33MONOX': [14, 305]}
PSMA1	{'Proteasome_A_N': [6, 28], 'Proteasome': [29, 215]}
FER1L6	{'FerI': [166, 236], 'C2': [1358, 1441, '//', 245, 339, '//', 828, 918, '//', 85, 165, '//', 1674, 1712, '//', 1002, 1081, '//', 1598, 1677], 'FerB': [712, 786]}
GPN2	{'ATP_bind_1': [14, 261]}
RDH13	{'adh_short': [39, 184]}
ZMAT1	{'zf-met': [121, 145, '//', 56, 80, '//', 175, 199]}
ZMAT3	{'zf-C2H2_jaz': [245, 271], 'zf-met': [70, 94, '//', 147, 171]}
ZMAT4	{'zf-C2H2_jaz': [145, 170], 'zf-met': [75, 99, '//', 198, 222, '//', 14, 38]}
C19orf24	{'DUF1180': [1, 132]}
C19orf25	{'UPF0449': [5, 104]}
MYBL1	{'LMSTEN': [239, 286], 'Myb_DNA-bind_6': [38, 98, '//', 90, 148, '//', 142, 199], 'Cmyb_C': [486, 653]}
NR1D1	{'zf-C4': [130, 200], 'Hormone_recep': [424, 611]}
NR1D2	{'zf-C4': [101, 171], 'Hormone_recep': [386, 578]}
MYBL2	{'Myb_DNA-bind_6': [34, 94, '//', 86, 143, '//', 138, 195], 'Cmyb_C': [451, 614]}
ITGB1BP1	{'ICAP-1_inte_bdg': [1, 200]}
ITGB1BP2	{'CS': [218, 294], 'CHORD': [1, 65, '//', 145, 209]}
CD93	{'cEGF': [406, 430, '//', 325, 348], 'Lectin_C': [42, 171]}
ZNF3	{'zf-C2H2': [200, 222], 'KRAB': [51, 91], 'zf-H2C2_2': [214, 239, '//', 242, 267, '//', 382, 407, '//', 270, 294, '//', 327, 351, '//', 354, 379, '//', 298, 323]}
CTCFL	{'zf-C2H2': [546, 568, '//', 428, 451], 'zf-H2C2_2': [384, 409, '//', 271, 296, '//', 500, 525, '//', 356, 380, '//', 299, 324, '//', 472, 497, '//', 327, 353]}
ZXDB	{'zf-C2H2': [304, 328, '//', 334, 358, '//', 364, 386, '//', 484, 508, '//', 271, 295, '//', 454, 478], 'zf-C2H2_4': [547, 572]}
SFRP2	{'Fz': [40, 153], 'NTR': [187, 288]}
C11orf16	{'DUF4537': [85, 225]}
ZAP70	{'Pkinase_Tyr': [338, 593], 'SH2': [163, 239, '//', 10, 87]}
CRYBA2	{'Crystall': [13, 98, '//', 107, 195]}
UFSP2	{'Peptidase_C78': [276, 461]}
SYNDIG1	{'Dispanin': [164, 246]}
OGFR	{'OGFr_N': [82, 295], 'OGFr_III': [537, 556, '//', 557, 576, '//', 597, 616, '//', 617, 636, '//', 637, 656, '//', 577, 596, '//', 517, 536]}
BCAP31	{'Bap31': [1, 224]}
CDC5L	{'Myb_DNA-bind_6': [11, 71], 'Myb_Cef': [404, 660]}
RAC2	{'Ras': [5, 178]}
RAC3	{'Ras': [5, 178]}
RAC1	{'Ras': [5, 178]}
SBDS	{'SBDS': [13, 103], 'SBDS_C': [106, 227]}
VCL	{'Vinculin': [481, 921, '//', 3, 485, '//', 918, 1134]}
F13B	{'Sushi': [336, 389, '//', 396, 450, '//', 274, 327, '//', 213, 267, '//', 524, 578, '//', 153, 208, '//', 91, 146, '//', 25, 87]}
CPLX3	{'Synaphin': [1, 140]}
CPLX1	{'Synaphin': [1, 134]}
AP2A1	{'Alpha_adaptin_C': [864, 972], 'Alpha_adaptinC2': [751, 858], 'Adaptin_N': [29, 591]}
VCX	{'VCX_VCY': [1, 142, '//', 122, 162, '//', 131, 172, '//', 141, 182, '//', 161, 205]}
VCY	{'VCX_VCY': [1, 123]}
CADPS	{'DUF1041': [835, 940]}
CLC	{'Gal-bind_lectin': [5, 137]}
PBX2	{'Homeobox': [245, 304], 'PBC': [46, 243]}
PBX3	{'Homeobox': [236, 295], 'PBC': [38, 234]}
AIRE	{'SAND': [189, 249], 'Sp100': [1, 106], 'PHD': [298, 343]}
TMOD2	{'Tropomodulin': [1, 147]}
NSUN3	{'Nol1_Nop2_Fmu': [108, 295]}
NSUN2	{'Nol1_Nop2_Fmu': [265, 442, '//', 120, 276]}
NSUN4	{'Nol1_Nop2_Fmu': [101, 344]}
NSUN7	{'Nol1_Nop2_Fmu': [310, 458]}
TUBG1	{'Tubulin': [4, 227], 'Tubulin_C': [264, 393]}
TUBG2	{'Tubulin': [4, 227], 'Tubulin_C': [264, 393]}
HIST1H4K	{'Histone': [25, 94]}
FAM71F2	{'DUF3699': [113, 187]}
PTCH2	{'Patched': [903, 1116], 'Sterol-sensing': [418, 570]}
OR7G1	{'7tm_4': [139, 283]}
PAGR1	{'PAXIP1_C': [86, 221]}
FAM108B1	{'Abhydrolase_5': [93, 265]}
PAMR1	{'Trypsin': [452, 715], 'Sushi': [280, 342, '//', 386, 442], 'CUB': [128, 233], 'EGF': [239, 270]}
RAD9A	{'Rad9': [13, 265]}
ERGIC2	{'ERGIC_N': [12, 105], 'COPIIcoated_ERV': [153, 333]}
ERGIC3	{'ERGIC_N': [6, 101], 'COPIIcoated_ERV': [145, 363]}
ERGIC1	{'ERGIC_N': [4, 96], 'COPIIcoated_ERV': [97, 271]}
CEP78	{'LRR_6': [257, 278, '//', 147, 170]}
CLU	{'Clusterin': [29, 449]}
B3GAT3	{'Glyco_transf_43': [96, 313]}
B3GAT2	{'Glyco_transf_43': [101, 305]}
B3GAT1	{'Glyco_transf_43': [105, 316]}
SRSF11	{'RRM_1': [35, 106]}
PLN	{'Phospholamban': [1, 52]}
UXT	{'Prefoldin': [28, 148]}
CALM2	{'EF-hand_1': [85, 113], 'EF-hand_8': [24, 76], 'EF-hand_7': [85, 146, '//', 7, 73]}
TTC30A	{'TPR_2': [46, 78], 'TPR_11': [155, 217]}
TTC30B	{'TPR_2': [46, 78], 'TPR_11': [155, 217]}
SPG20	{'MIT': [19, 95], 'Senescence': [426, 613]}
GSDMA	{'Gasdermin': [3, 420]}
GSDMB	{'Gasdermin': [4, 383]}
GSDMC	{'Gasdermin': [4, 484]}
GSDMD	{'Gasdermin': [4, 458]}
HRH4	{'7tm_1': [32, 358]}
DLGAP2	{'GKAP': [702, 1054]}
DLGAP3	{'GKAP': [621, 979]}
HIST1H4I	{'Histone': [25, 94]}
DLGAP4	{'GKAP': [653, 992]}
DLGAP5	{'GKAP': [272, 604]}
BRDT	{'Bromodomain': [36, 121, '//', 276, 364]}
FBXL15	{'F-box': [18, 59], 'LRR_6': [218, 242, '//', 165, 189]}
MBNL2	{'zf-CCCH': [177, 203]}
SRSF10	{'RRM_1': [12, 82]}
NPEPL1	{'Peptidase_M17': [178, 485]}
HRH3	{'7tm_1': [51, 412]}
CDX2	{'Homeobox': [187, 243], 'Caudal_act': [13, 180]}
ZNF720	{'KRAB': [4, 44]}
OIP5	{'Yippee-Mis18': [76, 173]}
CLCN3	{'CBS': [751, 806], 'Voltage_CLC': [220, 623]}
CLCN2	{'CBS': [791, 841], 'Voltage_CLC': [143, 547]}
CLCN1	{'CBS': [605, 662], 'Voltage_CLC': [170, 572]}
FBXL16	{'LRR_6': [319, 343, '//', 345, 369]}
CLCN7	{'CBS': [737, 793, '//', 627, 690], 'Voltage_CLC': [184, 596]}
CLCN6	{'CBS': [803, 857], 'Voltage_CLC': [138, 570]}
CLCN5	{'CBS': [679, 734, '//', 582, 646], 'Voltage_CLC': [149, 551]}
CLCN4	{'CBS': [693, 748, '//', 596, 660], 'Voltage_CLC': [162, 565]}
HIST1H4H	{'Histone': [25, 94]}
BRD8	{'Bromodomain': [713, 799, '//', 1112, 1195]}
BRD9	{'DUF3512': [268, 505], 'Bromodomain': [143, 228]}
GMFB	{'Cofilin_ADF': [12, 139]}
BRD4	{'Bromodomain': [357, 445, '//', 67, 152]}
BRD7	{'DUF3512': [286, 534], 'Bromodomain': [140, 223]}
BRD3	{'Bromodomain': [315, 403, '//', 42, 128]}
DNAJA2	{'DnaJ_CXXCXGXG': [143, 209], 'DnaJ': [8, 67], 'CTDII': [266, 349]}
DOLPP1	{'PAP2': [58, 188]}
PTPN18	{'Y_phosphatase': [56, 290]}
LRRFIP2	{'DUF2051': [255, 460, '//', 457, 647, '//', 31, 140]}
DNAJA4	{'DnaJ_CXXCXGXG': [135, 201], 'DnaJ': [6, 65], 'CTDII': [258, 340]}
GLG1	{'Cys_rich_FGFR': [915, 979, '//', 799, 856, '//', 540, 604, '//', 857, 912, '//', 612, 668, '//', 214, 278, '//', 1044, 1101, '//', 289, 346, '//', 349, 413, '//', 478, 537, '//', 982, 1042, '//', 417, 473, '//', 153, 212, '//', 669, 729, '//', 732, 788]}
PTPN13	{'FERM_C': [787, 876], 'Y_phosphatase': [2237, 2466], 'FERM_N': [576, 664], 'FERM_M': [665, 781], 'PDZ': [1368, 1450, '//', 1093, 1176, '//', 1788, 1866, '//', 1501, 1585, '//', 1883, 1962]}
PTPN12	{'Y_phosphatase': [58, 292]}
PTPN11	{'SH2': [112, 197, '//', 6, 81], 'Y_phosphatase': [273, 524]}
CLMP	{'V-set': [16, 128], 'Ig_2': [131, 225]}
PTPN14	{'FERM_C': [224, 309], 'FERM_N': [25, 103], 'FERM_M': [104, 220], 'Y_phosphatase': [933, 1179]}
GALR3	{'7tm_1': [34, 291]}
GALR2	{'7tm_1': [42, 292]}
UTRN	{'EF-hand_3': [2968, 3059], 'EF-hand_2': [2844, 2964], 'Spectrin': [309, 417, '//', 418, 526, '//', 1976, 2081, '//', 1125, 1230, '//', 1544, 1649, '//', 2443, 2556, '//', 2230, 2333, '//', 1652, 1752, '//', 2691, 2797, '//', 1016, 1122], 'WW': [2815, 2843], 'CH': [153, 255, '//', 34, 135], 'ZZ': [3064, 3109]}
LYAR	{'zf-LYAR': [31, 58]}
SRSF12	{'RRM_1': [12, 82]}
CH25H	{'FA_hydroxylase': [128, 244]}
CSF2RB	{'IL6Ra-bind': [244, 341], 'fn3': [340, 426]}
MRPL24	{'KOW': [58, 89]}
CSF2RA	{'IL6Ra-bind': [120, 215]}
DMD	{'EF-hand_3': [3211, 3302], 'EF-hand_2': [3087, 3207], 'Spectrin': [339, 447, '//', 1048, 1154, '//', 448, 556, '//', 2104, 2208, '//', 2934, 3040, '//', 2211, 2318, '//', 1157, 1263, '//', 1679, 1778, '//', 2580, 2686, '//', 1571, 1676, '//', 2471, 2577, '//', 1877, 1979, '//', 830, 934, '//', 2689, 2802, '//', 942, 1045, '//', 721, 828, '//', 1998, 2100], 'WW': [3057, 3086], 'CH': [137, 240, '//', 18, 119], 'ZZ': [3307, 3352]}
LYRM5	{'Complex1_LYR': [7, 63]}
MRPL23	{'Ribosomal_L23': [30, 109]}
MRPL22	{'Ribosomal_L22': [69, 174]}
GAB4	{'PH': [40, 152]}
GAB2	{'PH': [7, 117]}
GAB3	{'PH': [6, 117]}
GAB1	{'PH': [6, 116]}
HABP4	{'HABP4_PAI-RBP1': [212, 317]}
DMRTB1	{'DM': [7, 53]}
ZSCAN9	{'zf-C2H2': [282, 304], 'zf-H2C2_2': [268, 293, '//', 353, 377, '//', 324, 349], 'SCAN': [46, 141]}
NPTX2	{'Pentaxin': [224, 420]}
NPTX1	{'Pentaxin': [227, 422]}
ZSCAN4	{'zf-H2C2_2': [382, 407, '//', 354, 379, '//', 326, 351], 'SCAN': [38, 133]}
PTGFRN	{'V-set': [22, 140, '//', 276, 385], 'Ig_2': [409, 543, '//', 148, 271, '//', 550, 683]}
ZSCAN1	{'zf-C2H2': [380, 402], 'zf-H2C2_2': [306, 331], 'SCAN': [32, 126]}
SRSF5	{'RRM_1': [6, 68, '//', 110, 175]}
SRSF4	{'RRM_1': [4, 66, '//', 106, 171]}
SRSF7	{'RRM_1': [13, 78]}
SRSF6	{'RRM_1': [4, 66, '//', 112, 177]}
SRSF1	{'RRM_1': [18, 85, '//', 123, 186]}
CHD1L	{'Helicase_C': [381, 459], 'SNF2_N': [49, 328]}
SRSF3	{'RRM_1': [12, 77]}
SRSF2	{'RRM_1': [16, 86]}
MZB1	{'DUF3456': [47, 179]}
SRSF9	{'RRM_1': [16, 83, '//', 113, 176]}
HOXA5	{'Homeobox': [196, 252]}
DNAJB12	{'DUF1977': [261, 369], 'DnaJ': [110, 171]}
DNAJB11	{'DnaJ': [25, 87], 'CTDII': [257, 338]}
RNF133	{'zf-RING_2': [254, 297], 'PA': [73, 166]}
RNF135	{'zf-C3HC4_4': [21, 62], 'SPRY': [310, 426]}
DNAJB14	{'DUF1977': [264, 372], 'DnaJ': [108, 169]}
RNF138	{'zf-C3HC4': [18, 57], 'zf-Di19': [155, 216]}
CDK4	{'Pkinase': [6, 295]}
NKX2-5	{'Homeobox': [139, 195]}
CDK5	{'Pkinase': [4, 286]}
CISD2	{'MitoNEET_N': [1, 66], 'zf-CDGSH': [76, 115]}
CISD3	{'zf-CDGSH': [42, 76, '//', 80, 114]}
CISD1	{'MitoNEET_N': [4, 41], 'zf-CDGSH': [50, 88]}
CLNS1A	{'Voldacs': [35, 165]}
HOXA1	{'Homeobox': [230, 286]}
TRMT11	{'UPF0020': [188, 328]}
TSHZ2	{'zf-C2H2_2': [252, 315, '//', 925, 1033, '//', 368, 419, '//', 192, 261]}
TSHZ3	{'zf-C2H2_2': [258, 312, '//', 190, 257, '//', 376, 424], 'zf-C2H2_4': [1041, 1064]}
TSHZ1	{'zf-C2H2_2': [969, 1073, '//', 290, 346, '//', 405, 455, '//', 222, 290]}
GID8	{'LisH': [27, 53], 'CLTH': [63, 207]}
FOXS1	{'Fork_head': [18, 113]}
VILL	{'Gelsolin': [266, 341, '//', 400, 482, '//', 624, 699, '//', 21, 106, '//', 144, 220, '//', 519, 588], 'VHP': [821, 856]}
ZNF580	{'zf-C2H2': [120, 142, '//', 92, 114], 'zf-C2H2_4': [150, 172]}
TIPARP	{'PARP': [463, 650]}
ZNF584	{'zf-C2H2': [214, 236, '//', 159, 181], 'KRAB': [17, 57], 'zf-H2C2_2': [256, 281, '//', 340, 365, '//', 228, 253, '//', 284, 309, '//', 313, 337, '//', 368, 393]}
HAPLN4	{'V-set': [46, 164], 'Xlink': [162, 267, '//', 273, 364]}
ZNF589	{'KRAB': [35, 75], 'zf-H2C2_2': [290, 315, '//', 262, 286, '//', 318, 343]}
THSD1	{'TSP_1': [344, 392]}
TMEM115	{'DUF1751': [49, 151]}
KRTAP24-1	{'PMG': [6, 191]}
LPAR6	{'7tm_1': [34, 291]}
PSD	{'PH': [757, 868], 'Sec7': [528, 708]}
CAMKK2	{'Pkinase': [165, 446]}
COL4A4	{'Collagen': [62, 121, '//', 1082, 1141, '//', 1133, 1195, '//', 1015, 1080, '//', 494, 559, '//', 906, 967, '//', 1313, 1372, '//', 296, 360, '//', 969, 1029, '//', 365, 428, '//', 181, 238, '//', 400, 457, '//', 1196, 1253, '//', 118, 176, '//', 855, 927, '//', 671, 739, '//', 1405, 1464, '//', 607, 666, '//', 1255, 1328], 'C4': [1573, 1689, '//', 1465, 1572]}
NPTXR	{'Pentaxin': [293, 488]}
OR8U1	{'7tm_4': [139, 283]}
HAPLN2	{'V-set': [28, 145], 'Xlink': [147, 241, '//', 247, 337]}
MTRF1L	{'RF-1': [225, 338], 'PCRF': [81, 196]}
MYO1G	{'Myosin_head': [11, 694], 'Myosin_TH1': [814, 1017]}
MYO1F	{'Myosin_head': [19, 677], 'Myosin_TH1': [716, 918], 'SH3_9': [1048, 1096]}
MYO1E	{'Myosin_head': [21, 679], 'Myosin_TH1': [718, 923], 'SH3_1': [1057, 1102]}
MYO1D	{'IQ': [699, 719], 'Myosin_head': [11, 682], 'Myosin_TH1': [802, 1005]}
MYO1C	{'IQ': [758, 777, '//', 735, 755], 'Myosin_head': [48, 718], 'Myosin_TH1': [873, 1059]}
MYO1A	{'IQ': [744, 764, '//', 698, 718], 'Myosin_head': [10, 681], 'Myosin_TH1': [846, 1043]}
MSX2	{'Homeobox': [143, 199]}
AMOTL2	{'Angiomotin_C': [482, 692]}
CHMP3	{'Snf7': [18, 188]}
RPL36AL	{'Ribosomal_L44': [17, 95]}
RAET1G	{'MHC_I': [29, 205]}
CENPM	{'CENP-M': [1, 174]}
DENND6B	{'SPA': [248, 358]}
CHMP5	{'Snf7': [12, 197]}
DENND6A	{'SPA': [268, 376], 'Avl9': [62, 203]}
PGBD4	{'DDE_Tnp_1_7': [103, 468], 'Tnp_zf-ribbon_2': [539, 575]}
OR52N5	{'7tm_4': [150, 295]}
PGBD2	{'DDE_Tnp_1_7': [140, 499]}
CTPS2	{'CTP_synth_N': [1, 282], 'GATase': [309, 546]}
CTPS1	{'CTP_synth_N': [1, 285], 'GATase': [309, 546]}
LGALSL	{'Gal-bind_lectin': [39, 172]}
SULT6B1	{'Sulfotransfer_1': [55, 290]}
PPAPDC1B	{'PAP2': [89, 235]}
HOXA10	{'Homeobox': [337, 393]}
KRTAP19-2	{'KRTAP': [1, 46]}
KRTAP19-3	{'KRTAP': [1, 57, '//', 45, 75]}
PPIAL4C	{'Pro_isomerase': [7, 163]}
KRTAP19-1	{'KRTAP': [1, 58, '//', 52, 84]}
KRTAP19-6	{'KRTAP': [1, 52]}
KRTAP19-7	{'KRTAP': [1, 57]}
KRTAP19-4	{'KRTAP': [1, 57]}
KRTAP19-5	{'KRTAP': [1, 66]}
FAM160B1	{'RAI16-like': [78, 495]}
KRTAP19-8	{'KRTAP': [1, 59]}
FAM160B2	{'RAI16-like': [79, 476]}
ATAT1	{'Mec-17': [72, 192]}
MATN2	{'EGF_CA': [281, 318], 'cEGF': [423, 446], 'Matrilin_ccoil': [908, 954], 'FXa_inhibition': [570, 605, '//', 242, 277, '//', 324, 359, '//', 365, 400, '//', 611, 646], 'VWA': [655, 830, '//', 57, 234]}
SRC	{'Pkinase_Tyr': [270, 519], 'SH3_1': [90, 137], 'SH2': [151, 233]}
TSSK4	{'Pkinase': [25, 293]}
ZNF326	{'AKAP95': [312, 478]}
TSSK2	{'Pkinase': [12, 272]}
ZNF322	{'zf-C2H2_6': [354, 375], 'zf-H2C2_2': [169, 193, '//', 141, 166, '//', 197, 222, '//', 62, 82, '//', 253, 278, '//', 225, 250, '//', 113, 138, '//', 85, 110]}
SF3B1	{'SF3b1': [282, 457]}
FAM214B	{'Chromosome_seg': [479, 537], 'DUF4210': [348, 406]}
SRI	{'EF-hand_8': [45, 102], 'EF-hand_7': [104, 163]}
SUN1	{'Sad1_UNC': [675, 810], 'MRP': [61, 265, '//', 275, 321]}
SRL	{'Dynamin_N': [555, 716]}
SRM	{'Spermine_synth': [19, 261]}
LGALS9	{'Gal-bind_lectin': [16, 147, '//', 226, 355]}
WIPF2	{'WH2': [33, 60]}
FAM220A	{'FAM220': [2, 253]}
LGALS3	{'Gal-bind_lectin': [117, 247]}
LGALS2	{'Gal-bind_lectin': [3, 130]}
LGALS1	{'Gal-bind_lectin': [4, 134]}
SRY	{'HMG_box': [60, 128]}
LGALS7	{'Gal-bind_lectin': [5, 135]}
LGALS4	{'Gal-bind_lectin': [18, 149, '//', 193, 323]}
EIF2AK1	{'Pkinase': [337, 583, '//', 167, 248]}
KRTAP11-1	{'PMG': [1, 163]}
TDG	{'UDG': [125, 293]}
EIF2AK4	{'HGTP_anticodon2': [1393, 1648], 'tRNA-synt_His': [1055, 1381], 'Pkinase': [765, 1001, '//', 315, 539, '//', 590, 663], 'RWD': [18, 134]}
ADCY9	{'Guanylate_cyc': [385, 573, '//', 1049, 1244]}
NMB	{'Bombesin': [47, 60]}
AVPI1	{'TC1': [1, 75]}
MYO16	{'Myosin_head': [403, 1133], 'NYAP_N': [1208, 1577], 'Ank_2': [199, 285, '//', 64, 188]}
TRNT1	{'PolyA_pol_RNAbd': [215, 271], 'PolyA_pol': [59, 182]}
ASAP2	{'SH3_9': [951, 1002], 'PH': [306, 397], 'ArfGap': [421, 539], 'Ank': [620, 652]}
NMI	{'IFP_35_N': [29, 104], 'NID': [105, 192, '//', 203, 291]}
OCRL	{'Exo_endo_phos': [245, 524], 'RhoGAP': [735, 878]}
RNF122	{'zf-RING_2': [91, 134]}
PLAUR	{'UPAR_LY6': [216, 294, '//', 25, 99, '//', 117, 199]}
KRT28	{'Filament': [85, 400]}
HILPDA	{'HILPDA': [1, 63]}
LOXHD1	{'PLAT': [746, 861, '//', 1609, 1725, '//', 899, 1014, '//', 408, 524, '//', 277, 392, '//', 1184, 1300, '//', 149, 259, '//', 20, 132, '//', 1482, 1592, '//', 1030, 1152, '//', 538, 638, '//', 1351, 1467, '//', 1740, 1858, '//', 1878, 1941]}
LRRC26	{'LRR_8': [72, 131, '//', 143, 202, '//', 117, 155]}
LRRC24	{'LRR_8': [74, 134, '//', 146, 205], 'I-set': [260, 362]}
MTMR11	{'3-PAP': [548, 683], 'Myotub-related': [297, 485, '//', 162, 318]}
MPDU1	{'PQ-loop': [42, 102, '//', 153, 213]}
LOX	{'Lysyl_oxidase': [213, 417]}
LPGAT1	{'Acyltransferase': [80, 226]}
LRRC29	{'LRR_6': [125, 150]}
TIMM17B	{'Tim17': [8, 133]}
GCNT4	{'Branch': [133, 402]}
GCNT7	{'Branch': [111, 374]}
GCNT6	{'Branch': [99, 332]}
GCNT1	{'Branch': [123, 392]}
GCNT3	{'Branch': [133, 402]}
GCNT2	{'Branch': [97, 358]}
TPSD1	{'Trypsin': [38, 241]}
ZNF165	{'zf-H2C2_2': [442, 467, '//', 414, 438, '//', 386, 410, '//', 358, 383], 'SCAN': [43, 138]}
LPCAT4	{'Acyltransferase': [108, 232]}
ELL	{'Occludin_ELL': [513, 614], 'ELL': [5, 293]}
LPCAT1	{'Acyltransferase': [114, 237], 'EF-hand_8': [432, 483], 'EF-hand_6': [383, 414]}
OSTM1	{'OSTMP1': [84, 330]}
KRT20	{'Filament': [69, 380]}
MID1IP1	{'Spot_14': [2, 183]}
PPIG	{'Pro_isomerase': [11, 176]}
PIGB	{'Glyco_transf_22': [62, 449]}
PIGC	{'GPI2': [14, 284]}
PIGF	{'PIG-F': [12, 206]}
PIGG	{'Phosphodiest': [68, 320]}
SERBP1	{'HABP4_PAI-RBP1': [189, 314]}
PIGM	{'Mannosyl_trans': [140, 408]}
PIGN	{'Phosphodiest': [46, 339], 'PigN': [430, 884]}
PIGO	{'Phosphodiest': [184, 315]}
PIGP	{'PIG-P': [34, 149]}
PIGQ	{'Gpi1': [274, 463]}
PIGR	{'V-set': [19, 128, '//', 349, 456, '//', 461, 562, '//', 124, 238, '//', 235, 342]}
ILKAP	{'PP2C': [107, 383]}
PIGU	{'PIG-U': [10, 394]}
WRAP53	{'WD40': [357, 396, '//', 165, 197, '//', 318, 352, '//', 418, 441]}
PIGW	{'GWT1': [301, 463]}
PIGY	{'PIG-Y': [4, 71]}
PIGZ	{'Glyco_transf_22': [37, 473]}
KRT25	{'Filament': [78, 393]}
RMND1	{'DUF155': [225, 404]}
ANKLE1	{'LEM': [356, 395], 'Ank_2': [11, 106, '//', 58, 139]}
SERPINB9	{'Serpin': [6, 376]}
RHPN1	{'BRO1': [108, 536], 'HR1': [35, 100], 'PDZ': [538, 615]}
ELAC2	{'Lactamase_B_2': [510, 725], 'Lactamase_B_4': [61, 120]}
OLR1	{'Lectin_C': [161, 266]}
CCDC173	{'Trichoplein': [147, 482]}
